"ParticipantName"	"AA"	"AB"	"AC"	"AX"	"BA"	"BB"	"BC"	"BX"	"CA"	"CB"	"CC"	"CX"	"XA"	"XB"	"XC"	"XX"
"ACSW"	4	1	1	2	5	16	1	2	0	3	22	7	4	6	8	6
"AHV_UP"	2	2	0	2	4	10	1	11	0	3	11	9	2	12	11	34
"ALP_UP"	7	1	0	2	3	11	1	4	1	1	27	6	3	7	8	4
"AM"	1	1	0	4	2	8	0	5	0	3	4	6	5	3	6	19
"BF"	1	0	0	2	0	0	0	0	0	0	0	1	3	0	0	17
"CMP_UP"	3	2	0	1	6	7	1	4	0	0	19	11	4	8	11	5
"DPB_UP"	3	3	0	4	8	17	2	8	1	5	25	6	1	11	9	2
"DT"	4	3	1	1	4	6	0	3	0	1	8	2	5	4	3	10
"EC"	4	1	0	1	3	4	2	2	1	2	10	5	4	6	5	4
"GB"	11	0	2	0	4	7	3	2	2	4	26	11	1	5	10	5
"HGR2"	6	1	0	3	0	9	1	4	1	1	15	7	4	3	8	22
"JMK_UP"	7	7	0	1	7	10	0	8	2	1	16	6	4	10	9	18
"JR"	2	2	0	0	3	3	0	1	0	1	2	1	1	1	2	2
"KAC_UP"	1	2	0	4	5	7	0	4	0	1	4	3	3	9	4	8
"KF"	7	2	0	0	4	15	1	4	2	1	18	6	1	7	7	3
"KG"	11	4	0	0	7	18	4	4	0	10	30	1	2	3	6	4
"LM"	5	1	0	1	2	8	2	7	0	1	15	11	4	10	11	29
"ML"	4	3	0	2	3	18	2	3	3	2	17	3	3	6	7	4
"MRG_UP"	5	4	1	3	4	13	4	9	4	3	14	8	1	11	9	14
"MS"	9	1	0	0	2	7	1	2	1	2	12	2	3	4	4	7
"RF"	1	2	0	3	1	2	0	4	0	2	5	8	6	2	7	19
"SG"	8	2	0	0	3	7	1	2	1	4	18	4	3	1	10	1
"SH"	5	0	0	0	1	4	2	0	1	3	8	3	1	2	4	3
"SK"	3	2	0	1	3	3	0	7	2	2	8	1	4	4	4	14
"SMB_UP"	3	3	0	4	4	4	1	3	0	3	5	5	6	4	8	12
"TMC_UP"	8	3	0	4	4	6	1	6	1	3	11	7	6	7	10	7
"TZ"	1	3	0	2	5	9	1	5	0	3	9	10	1	7	12	10
"VAS_UP"	4	2	0	3	5	8	2	8	1	5	16	8	3	9	12	22
"VMR_UP"	3	0	0	2	2	6	0	7	1	2	13	8	2	7	11	23
"ZW"	5	2	0	8	3	10	2	4	1	3	17	11	7	4	14	18
