"ParticipantName"	"AA"	"AB"	"AC"	"AX"	"BA"	"BB"	"BC"	"BX"	"CA"	"CB"	"CC"	"CX"	"XA"	"XB"	"XC"	"XX"
"1"	"ACSW"	5	3	0	1	8	9	1	3	0	5	4	3	2	5	7	3
"2"	"AHV_UP"	0	0	0	3	1	2	0	2	0	0	6	9	5	3	7	32
"3"	"ALP_UP"	10	7	2	0	1	7	3	5	4	5	15	2	5	2	7	8
"4"	"AM"	3	0	0	3	1	1	0	3	0	0	3	4	2	4	1	14
"5"	"BF"	1	0	0	1	0	1	0	3	0	1	2	3	2	1	4	22
"6"	"CMP_UP"	7	3	1	0	3	11	1	6	2	0	3	3	2	4	4	6
"7"	"DPB_UP"	3	1	2	0	4	18	0	3	1	2	14	6	3	5	6	2
"8"	"DT"	4	0	0	2	5	3	2	1	0	3	3	6	4	5	6	3
"9"	"EC"	4	0	0	0	5	7	0	0	1	3	6	3	1	3	7	6
"10"	"GB"	12	4	1	4	6	11	0	5	3	3	9	3	2	3	7	10
"11"	"HGR2"	8	2	0	4	4	5	0	1	3	0	1	2	2	1	4	9
"12"	"JMK_UP"	4	0	0	1	4	14	8	2	1	7	16	10	1	7	10	27
"13"	"JR"	3	2	0	2	1	0	0	0	0	0	2	1	5	0	0	4
"14"	"KAC_UP"	3	2	0	0	3	8	3	3	3	2	1	2	2	4	6	9
"15"	"KF"	5	6	3	0	9	13	2	0	1	3	7	2	3	3	3	3
"16"	"KG"	7	5	1	1	6	9	0	6	1	4	11	2	5	3	6	3
"17"	"LM"	1	0	0	0	1	1	1	2	0	1	6	7	1	2	1	24
"18"	"ML"	4	0	0	1	4	19	1	7	2	4	9	5	3	8	9	4
"19"	"MRG_UP"	2	2	1	1	2	2	0	4	2	2	11	6	4	3	8	19
"20"	"MS"	4	0	1	0	3	2	0	2	4	2	4	2	1	3	6	2
"21"	"RF"	1	2	0	3	3	5	1	9	0	2	1	5	4	10	5	17
"22"	"SG"	7	0	1	1	3	7	2	7	1	6	14	5	5	6	9	7
"23"	"SH"	5	2	0	1	5	4	2	1	2	2	3	2	0	3	2	1
"24"	"SK"	2	2	1	2	6	6	2	0	0	4	7	3	3	2	5	8
"25"	"SMB_UP"	0	1	1	4	4	9	1	5	2	2	11	14	1	7	12	28
"26"	"TMC_UP"	5	0	0	2	1	2	0	2	1	0	6	5	3	3	4	16
"27"	"TZ"	4	0	0	0	2	1	0	5	0	0	3	7	2	7	3	22
"28"	"VAS_UP"	3	2	0	2	1	3	2	6	2	3	7	4	4	4	6	18
"29"	"VMR_UP"	0	0	0	0	0	7	1	3	0	0	4	7	1	2	4	16
"30"	"ZW"	3	0	1	1	1	6	4	6	0	4	7	7	2	6	5	44
